time,field.model_name,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.reference_frame
148884000000,human_drone,-0.7100000000000009,-0.42000000000000076,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
149796000000,human_drone,-0.7100000000000009,-0.4500000000000008,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
150088000000,human_drone,-0.7100000000000009,-0.4600000000000008,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
150536000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
151022000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.766044443118978,0.6427876096865394,0.0,0.0,0.0,0.0,0.0,0.0,
151748000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.7933533402912352,0.6087614290087207,0.0,0.0,0.0,0.0,0.0,0.0,
152496000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.8433914458128857,0.5372996083468239,0.0,0.0,0.0,0.0,0.0,0.0,
152684000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,
154314000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.9396926207859083,0.3420201433256688,0.0,0.0,0.0,0.0,0.0,0.0,
154364000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.9537169507482269,0.30070579950427306,0.0,0.0,0.0,0.0,0.0,0.0,
156546000000,human_drone,-0.7100000000000009,-0.4700000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
156750000000,human_drone,-0.7100000000000009,-0.4800000000000008,0.0,0.0,0.0,0.9762960071199334,0.2164396139381029,0.0,0.0,0.0,0.0,0.0,0.0,
